iter	Passed	Remaining
0	2	2683
1	5	2614
2	7	2639
3	10	2705
4	14	2798
5	17	2870
6	20	2971
7	24	3017
8	27	3061
9	31	3084
10	34	3077
11	37	3104
12	41	3133
13	44	3126
14	47	3137
15	50	3120
16	53	3100
17	57	3127
18	60	3128
19	63	3120
20	66	3115
21	69	3107
22	72	3087
23	75	3074
24	78	3059
25	80	3031
26	83	3003
27	85	2984
28	88	2963
29	91	2945
30	93	2933
31	96	2919
32	99	2905
33	101	2895
34	104	2882
35	107	2865
36	110	2871
37	115	2912
38	128	3174
39	132	3186
40	137	3206
41	141	3225
42	145	3245
43	150	3262
44	154	3279
45	159	3303
46	163	3316
47	167	3322
48	171	3331
49	176	3352
50	180	3360
51	184	3365
52	191	3413
53	195	3426
54	200	3437
55	205	3461
56	209	3459
57	212	3458
58	217	3466
59	220	3452
60	223	3440
61	226	3427
62	229	3416
63	232	3401
64	235	3385
65	238	3368
66	240	3351
67	243	3333
68	245	3315
69	248	3304
70	251	3291
71	254	3275
72	256	3259
73	259	3247
74	262	3232
75	265	3222
76	267	3208
77	270	3194
78	273	3184
79	275	3172
80	278	3157
81	280	3143
82	283	3133
83	286	3121
84	288	3109
85	291	3098
86	294	3089
87	298	3091
88	301	3089
89	304	3080
90	307	3072
91	310	3063
92	313	3057
93	317	3057
94	319	3048
95	322	3040
96	325	3034
97	329	3030
98	332	3024
99	335	3017
100	338	3011
101	342	3015
102	352	3071
103	356	3075
104	362	3093
105	366	3089
106	369	3083
107	372	3078
108	375	3070
109	378	3064
110	382	3060
111	384	3052
112	387	3044
113	390	3037
114	393	3031
115	397	3026
116	400	3019
117	403	3013
118	406	3010
119	409	3005
120	412	2997
121	415	2988
122	417	2979
123	420	2970
124	423	2966
125	426	2959
126	429	2951
127	432	2943
128	434	2936
129	437	2931
130	440	2924
131	443	2916
132	446	2909
133	449	2903
134	452	2897
135	455	2892
136	457	2884
137	460	2877
138	463	2871
139	466	2867
140	469	2862
141	472	2856
142	475	2852
143	479	2849
144	482	2847
145	486	2843
146	489	2838
147	492	2833
148	495	2830
149	498	2825
150	501	2821
151	505	2818
152	508	2812
153	510	2806
154	513	2801
155	516	2795
156	519	2789
157	522	2783
158	525	2778
159	528	2773
160	531	2767
161	534	2762
162	536	2755
163	539	2750
164	542	2744
165	545	2738
166	547	2733
167	550	2727
168	553	2721
169	555	2710
170	558	2705
171	560	2699
172	563	2695
173	566	2689
174	569	2683
175	572	2678
176	574	2673
177	577	2667
178	579	2657
179	582	2652
180	585	2650
181	587	2642
182	591	2640
183	594	2637
184	598	2634
185	601	2632
186	604	2629
187	608	2626
188	611	2624
189	614	2619
190	617	2615
191	620	2611
192	623	2606
193	626	2601
194	629	2597
195	632	2593
196	635	2589
197	638	2584
198	641	2580
199	643	2575
200	646	2569
201	649	2564
202	651	2558
203	654	2553
204	657	2547
205	659	2543
206	662	2538
207	665	2533
208	667	2528
209	670	2522
210	673	2517
211	676	2512
212	679	2509
213	681	2503
214	684	2498
215	686	2492
216	689	2488
217	692	2483
218	694	2478
219	697	2473
220	700	2467
221	702	2462
222	705	2459
223	708	2455
224	711	2452
225	714	2448
226	718	2445
227	722	2445
228	725	2442
229	728	2439
230	731	2435
231	735	2433
232	738	2430
233	740	2425
234	743	2420
235	746	2416
236	749	2412
237	752	2409
238	755	2405
239	758	2401
240	761	2398
241	764	2393
242	766	2388
243	768	2382
244	771	2378
245	774	2374
246	777	2370
247	780	2366
248	783	2361
249	785	2356
250	788	2352
251	790	2347
252	793	2342
253	795	2337
254	798	2331
255	800	2326
256	803	2321
257	805	2316
258	808	2312
259	810	2307
260	813	2303
261	816	2298
262	818	2294
263	821	2289
264	823	2285
265	826	2280
266	829	2277
267	832	2273
268	835	2270
269	838	2265
270	841	2263
271	843	2258
272	846	2254
273	848	2249
274	851	2244
275	853	2239
276	856	2234
277	858	2229
278	860	2224
279	862	2219
280	865	2213
281	867	2207
282	869	2203
283	871	2198
284	874	2192
285	876	2187
286	878	2182
287	880	2177
288	882	2172
289	885	2166
290	887	2161
291	889	2156
292	891	2151
293	894	2147
294	896	2142
295	898	2137
296	900	2132
297	903	2127
298	905	2122
299	907	2117
300	909	2112
301	912	2108
302	914	2103
303	916	2098
304	918	2094
305	921	2089
306	923	2084
307	925	2080
308	928	2075
309	930	2070
310	932	2066
311	934	2061
312	936	2056
313	939	2051
314	941	2047
315	943	2043
316	946	2038
317	948	2034
318	951	2030
319	953	2026
320	955	2021
321	958	2017
322	960	2013
323	963	2009
324	965	2004
325	967	2000
326	970	1997
327	972	1993
328	975	1988
329	977	1984
330	980	1980
331	982	1976
332	985	1973
333	987	1969
334	990	1966
335	993	1963
336	996	1960
337	999	1956
338	1001	1953
339	1005	1951
340	1008	1948
341	1010	1945
342	1014	1942
