Symbol,Stock Name,Sector,Exchange,Market Cap,PE,Stock URL
CENTURYPLY,Century Plyboards(I),Agriculture,NSE,"16,492",88.99,https://zerodha.com/markets/stocks/NSE/CENTURYPLY/
BBTC,Bombay Burmah Trdg.,Agriculture,NSE,"13,680",12.19,https://zerodha.com/markets/stocks/NSE/BBTC/
JKPAPER,JK Paper,Agriculture,NSE,"6,852",16.72,https://zerodha.com/markets/stocks/NSE/JKPAPER/
KSCL,Kaveri Seed,Agriculture,NSE,"6,223",22.12,https://zerodha.com/markets/stocks/NSE/KSCL/
GREENPLY,Greenply Industries,Agriculture,NSE,"3,793",41.4,https://zerodha.com/markets/stocks/NSE/GREENPLY/
WSTCSTPAPR,West Coast Paper,Agriculture,NSE,"3,678",11.82,https://zerodha.com/markets/stocks/NSE/WSTCSTPAPR/
GREENPANEL,Greenpanel Inds.,Agriculture,NSE,"3,539",24.8,https://zerodha.com/markets/stocks/NSE/GREENPANEL/
BGPL,String Metaverse,Agriculture,BSE,"2,947",84.01,https://zerodha.com/markets/stocks/BSE/BGPL/
JUBLCPL,Jubilant Agri & Con.,Agriculture,NSE,"2,577",29.05,https://zerodha.com/markets/stocks/NSE/JUBLCPL/
VENKEYS,Venkys India,Agriculture,NSE,"2,263",19.4,https://zerodha.com/markets/stocks/NSE/VENKEYS/
SESHAPAPER,Seshasayee Paper,Agriculture,NSE,"1,902",17.43,https://zerodha.com/markets/stocks/NSE/SESHAPAPER/
ANDHRAPAP,Andhra Paper,Agriculture,NSE,"1,664",18.72,https://zerodha.com/markets/stocks/NSE/ANDHRAPAP/
BSHSL,Bombay Super Hybrid,Agriculture,NSE,"1,478",55.99,https://zerodha.com/markets/stocks/NSE/BSHSL/
TNPL,TN Newsprints,Agriculture,NSE,"1,230",329.82,https://zerodha.com/markets/stocks/NSE/TNPL/
PDMJEPAPER,Pudumjee Paper,Agriculture,NSE,"1,211",12.65,https://zerodha.com/markets/stocks/NSE/PDMJEPAPER/
ORIRAIL,Oriental Rail Infra,Agriculture,BSE,"1,165",39.87,https://zerodha.com/markets/stocks/BSE/ORIRAIL/
KUANTUM,Kuantum Papers,Agriculture,NSE,"1,113",9.66,https://zerodha.com/markets/stocks/NSE/KUANTUM/
PAKKA,Pakka,Agriculture,BSE,923,21.78,https://zerodha.com/markets/stocks/BSE/PAKKA/
SATIA,Satia Industries,Agriculture,BSE,918,7.74,https://zerodha.com/markets/stocks/BSE/SATIA/
